Codice Nazionale;Sigla Provincia;Denominazione Italiana;Denominazione Estera;Codice Catastale;Ufficio Catasto Terreni;Ufficio Catasto Fabbricati;Codice Conservatoria;Codice Istat;Data Costituzione;Attesa VCT Territorio;Attesa VCT Fabbricati
C884;VC;COLLOBIANO;;A6CF;VC;VC;VC00;002045;;;
C885;UD;COLLOREDO DI MONTE ALBANO;;F6BM;UD;UD;UD00;030028;;;
C886;MC;COLMURANO;;K3AP;MC;MC;MC00;043014;;;
C888;MT;COLOBRARO;;S2AH;MT;MT;MT00;077006;;;
C890;VR;COLOGNA VENETA;;D6BJ;VR;VR;VR00;023027;;;
C893;BS;COLOGNE;;C3DQ;BS;BS;BS00;017059;;;
C894;BG;COLOGNO AL SERIO;;C2ED;BG;BG;BG00;016079;;;
C895;MI;COLOGNO MONZESE;;C1GN;MI;MI;MI20;015081;;;
C897;VR;COLOGNOLA AI COLLI;;D6BK;VR;VR;VR00;023028;;;
C900;RM;COLONNA;;M1BR;RM;RM;RM20;058035;;;
C901;TE;COLONNELLA;;N4AV;TE;TE;TE00;067019;;;
C902;CO;COLONNO;;C4FW;CO;CO;CO00;013074;;;
C903;SO;COLORINA;;C8BB;SO;SO;SO00;014023;;;
C904;PR;COLORNO;;H5AM;PR;PR;PR00;034010;;;
C905;CS;COLOSIMI;;T3BW;CS;CS;CS00;078043;;;
C908;MI;COLTURANO;;C1GP;MI;MI;MI20;015082;;;
C910;BG;COLZATE;;C2EF;BG;BG;BG00;016080;;;
C911;VA;COMABBIO;;C9DH;VA;VA;VA00;012054;;;
C912;FE;COMACCHIO;;H2AG;FE;FE;FE00;038006;;;
C914;MS;COMANO;;I6AJ;MS;MS;MS00;045005;;;
C917;LO;COMAZZO;;C1GR;LO;LO;LO00;098020;;;
C918;UD;COMEGLIANS;;F6BN;UD;UD;UD00;030029;;;
C919;BL;SANTO STEFANO DI CADORE;;D2AT;BL;BL;BL00;025050;;;
C920;BL;COMELICO SUPERIORE;;D2AU;BL;BL;BL00;025015;;;
C922;VA;COMERIO;;C9DI;VA;VA;VA00;012055;;;
C925;BS;COMEZZANO-CIZZAGO;;C3DU;BS;BS;BS00;017060;;;
C926;NO;COMIGNAGO;;A5DY;NO;NO;NO00;003052;;;
C927;RG;COMISO;;U7AD;RG;RG;RG00;088003;;;
C928;AG;COMITINI;;U2AQ;AG;AG;AG00;084016;;;
C929;NA;COMIZIANO;;Q1BG;NA;NA;CE00;063029;;;
C930;MN;COMMESSAGGIO;;C6AX;MN;MN;MN00;020020;;;
C931;TN;COMMEZZADURA;;E1EH;;;;022064;;;
C933;CO;COMO;;C4AA;CO;CO;CO00;013075;;;
C934;PR;COMPIANO;;H5AN;PR;PR;PR00;034011;;;
C935;AP;COMUNANZA;;K2AT;AP;AP;AP00;044015;;;
C936;CO;VALSOLDA;;C4FX;CO;CO;CO00;013234;;;
C937;BG;COMUN NUOVO;;C2EG;BG;BG;BG00;016081;;;
C938;VE;CONA;;D1AN;VE;VE;VE10;027010;;;
C939;CE;CONCA DELLA CAMPANIA;;Q4BN;CE;CE;CE00;061031;;;
C940;SA;CONCA DEI MARINI;;Q5BW;SA;SA;SA00;065044;;;
C941;IS;CONCA CASALE;;P2AT;IS;IS;IS00;094018;;;
C943;VR;CONCAMARISE;;D6BL;VR;VR;VR00;023029;;;
C946;RI;CONCERVIANO;;M4BA;RI;RI;RI00;057023;;;
C948;BS;CONCESIO;;C3DV;BS;BS;BS00;017061;;;
C949;VI;CONCO;;D7BJ;VI;VI;VI20;024033;;;
C950;VE;CONCORDIA SAGITTARIA;;D1AP;VE;VE;VE00;027011;;;
C951;MO;CONCORDIA SULLA SECCHIA;;H4AK;MO;MO;MO00;036010;;;
C952;MB;CONCOREZZO;;C1GT;MI;MI;MI20;108021;;;
C954;RC;CONDOFURI;;T1BI;RC;RC;RC00;080029;;;
C955;TO;CONDOVE;;A1EN;TO;TO;TO60;001093;;;
C956;ME;CONDRO';;U6AV;ME;ME;ME00;083018;;;
C957;TV;CONEGLIANO;;D5AZ;TV;TV;TV00;026021;;;
C958;PV;CONFIENZA;;C7DI;PV;PV;PV10;018052;;;
C959;RI;CONFIGNI;;M4BB;RI;RI;RI00;057024;;;
C960;CZ;CONFLENTI;;T2BI;CZ;CZ;CZ00;079033;;;
C962;AL;CONIOLO;;A2DH;AL;AL;AL20;006060;;;
C963;RA;CONSELICE;;H7AI;RA;RA;RA00;039008;;;
C964;PD;CONSELVE;;D3BJ;PD;PD;PD00;028034;;;
C968;PA;CONTESSA ENTELLINA;;U1BI;PA;PA;PA00;082033;;;
C969;RI;CONTIGLIANO;;M4BC;RI;RI;RI00;057025;;;
C971;AV;CONTRADA;;Q2BF;AV;AV;AV00;064029;;;
C972;TE;CONTROGUERRA;;N4AW;TE;TE;TE00;067020;;;
C973;SA;CONTRONE;;Q5BX;SA;SA;SA00;065045;;;
C974;SA;CONTURSI TERME;;Q5BY;SA;SA;SA00;065046;;;
C975;BA;CONVERSANO;;R1AW;BA;BA;BA00;072019;;;
C976;AV;CONZA DELLA CAMPANIA;;Q2BG;AV;AV;AV00;064030;;;
C977;AL;CONZANO;;A2DI;AL;AL;AL20;006061;;;
C978;LE;COPERTINO;;R4AX;LE;LE;LE00;075022;;;
C979;PV;COPIANO;;C7DJ;PV;PV;PV00;018053;;;
C980;FE;COPPARO;;H2AH;FE;FE;FE00;038007;;;
C982;PV;CORANA;;C7DK;PV;PV;PV20;018054;;;
C983;BA;CORATO;;R1AX;BA;BA;BA10;072020;;;
C984;SA;CORBARA;;Q5BZ;SA;SA;SA00;065047;;;
C986;MI;CORBETTA;;C1GV;MI;MI;PV00;015085;;;
C987;RO;CORBOLA;;D4AZ;RO;RO;VE10;029017;;;
C988;VT;CORCHIANO;;M5BB;VT;VT;VT00;056023;;;
C990;PG;CORCIANO;;L1BD;PG;PG;PG00;054015;;;
C991;PN;CORDENONS;;F5AS;PN;PN;PN00;093017;;;
C992;TV;CORDIGNANO;;D5BA;TV;TV;TV00;026022;;;
C993;PN;CORDOVADO;;F5AT;PN;PN;PN00;093018;;;
C995;GE;COREGLIA LIGURE;;G1BL;GE;GE;GE10;010019;;;
C996;LU;COREGLIA ANTELMINELLI;;I5AL;LU;LU;LU00;046011;;;
C998;FR;CORENO AUSONIO;;M2BG;FR;FR;FR00;060030;;;
C999;AQ;CORFINIO;;N1BV;AQ;AQ;AQ00;066041;;;
D003;LT;CORI;;M3AH;LT;LT;LT00;059006;;;
D004;RN;CORIANO;;H3AK;RN;RN;RN00;099003;;;
D006;LE;CORIGLIANO D'OTRANTO;;R4AY;LE;LE;LE00;075023;;;
D007;AN;CORINALDO;;K1AP;AN;AN;AN00;042015;;;
D008;TO;CORIO;;A1EP;TO;TO;TO20;001094;;;
D009;PA;CORLEONE;;U1BJ;PA;PA;PA00;082034;;;
D010;PZ;CORLETO PERTICARA;;S1BF;PZ;PZ;PZ00;076029;;;
D011;SA;CORLETO MONFORTE;;Q5CA;SA;SA;SA00;065048;;;
D012;AO;COURMAYEUR;;B1BA;AO;AO;AO00;007022;;;
D013;MI;CORMANO;;C1GX;MI;MI;MI20;015086;;;
D014;GO;CORMONS;;F3BC;GO;GO;;031002;;;
D015;BG;CORNA IMAGNA;;C2EH;BG;BG;BG00;016082;;;
D016;BG;CORNALBA;;C2EI;BG;BG;BG00;016249;;;
D018;MI;CORNAREDO;;C1GY;MI;MI;MI20;015087;;;
D019;MB;CORNATE D'ADDA;;C1GZ;MI;MI;MI20;108053;;;
D020;VI;CORNEDO VICENTINO;;D7BK;VI;VI;VI00;024034;;;
D021;LO;CORNEGLIANO LAUDENSE;;C1HA;LO;LO;LO00;098021;;;
D022;CN;CORNELIANO D'ALBA;;A4DD;CN;CN;CN10;004072;;;
D024;VT;TARQUINIA;;M5CH;VT;VT;RM40;056050;;;
D026;PR;CORNIGLIO;;H5AP;PR;PR;PR00;034012;;;
D027;UD;CORNO DI ROSAZZO;;F6BP;UD;UD;UD00;030030;;;
D028;LO;CORNO GIOVINE;;C1HC;LO;LO;LO00;098022;;;
D029;LO;CORNOVECCHIO;;C1HD;LO;LO;LO00;098023;;;
D030;TV;CORNUDA;;D5BB;TV;TV;TV00;026023;;;
D033;MI;MORIMONDO;;C1HE;MI;MI;PV00;015150;;;
D037;RE;CORREGGIO;;H8AV;RE;RE;RE00;035020;;;
D038;MB;CORREZZANA;;C1HG;MI;MI;MI20;108022;;;
D040;PD;CORREZZOLA;;D3BK;PD;PD;PD00;028035;;;
D041;CO;CORRIDO;;C4GD;CO;CO;CO00;013077;;;
D042;MC;CORRIDONIA;;K3AQ;MC;MC;MC00;043015;;;
D043;TE;CORROPOLI;;N4AX;TE;TE;TE00;067021;;;
D044;LE;CORSANO;;R4AZ;LE;LE;LE00;075024;;;
D045;MI;CORSICO;;C1HH;MI;MI;MI20;015093;;;
D046;AT;CORSIONE;;A3BT;AT;AT;AT00;005044;;;
D048;BZ;CORTACCIA SULLA STRADA DEL VINO;KURTATSCH AN DER WEINSTRASSE;E2BT;;;;021024;;;
D049;CZ;CORTALE;;T2BJ;CZ;CZ;CZ00;079034;;;
D050;AT;CORTANDONE;;A3BU;AT;AT;AT00;005045;;;
D051;AT;CORTANZE;;A3BV;AT;AT;AT00;005046;;;
D052;AT;CORTAZZONE;;A3BW;AT;AT;AT00;005047;;;
D054;PC;CORTE BRUGNATELLA;;H6AT;PC;PC;PC00;033017;;;
D056;CR;CORTE DE' CORTESI CON CIGNONE;;C5DD;CR;CR;CR00;019032;;;
D057;CR;CORTE DE' FRATI;;C5DE;CR;CR;CR00;019033;;;
D058;BS;CORTE FRANCA;;C3DW;BS;BS;BS00;017062;;;
D061;PC;CORTEMAGGIORE;;H6AU;PC;PC;PC00;033018;;;
D062;CN;CORTEMILIA;;A4DE;CN;CN;CN10;004073;;;
D064;BS;CORTENO GOLGI;;C3DY;BS;BS;BS10;017063;;;
D065;LC;CORTENOVA;;C4GF;LC;LC;LC00;097025;;;
D066;BG;CORTENUOVA;;C2EK;BG;BG;BG00;016083;;;
D068;LO;CORTE PALASIO;;C1HI;LO;LO;LO00;098024;;;
D072;AT;CORTIGLIONE;;A3BX;AT;AT;AL10;005048;;;
D075;BZ;CORTINA SULLA STRADA DEL VINO;KURTINIG AN DER WEINSTRASSE;E2BV;;;;021025;;;
D076;TE;CORTINO;;N4AY;TE;TE;TE00;067022;;;
D077;AR;CORTONA;;I2AS;AR;AR;AR00;051017;;;
D078;PE;CORVARA;;N3AS;PE;PE;PE00;068016;;;
D079;BZ;CORVARA IN BADIA;CORVARA;E2BW;;;;021026;;;
D081;PV;CORVINO SAN QUIRICO;;C7DQ;PV;PV;PV20;018057;;;
D082;BS;CORZANO;;C3EA;BS;BS;BS00;017064;;;
D085;UD;COSEANO;;F6BQ;UD;UD;UD00;030031;;;
D086;CS;COSENZA;;T3AA;CS;CS;CS00;078045;;;
D087;IM;COSIO D'ARROSCIA;;G2BL;IM;IM;IM00;008023;;;
D088;SO;COSIO VALTELLINO;;C8BC;SO;SO;SO00;014024;;;
D089;RC;COSOLETO;;T1BJ;RC;RC;RC00;080030;;;
D092;TO;COSSANO CANAVESE;;A1EQ;TO;TO;TO40;001095;;;
D093;CN;COSSANO BELBO;;A4DF;CN;CN;CN10;004074;;;
D094;BI;COSSATO;;A6CG;BI;BI;BI00;096020;;;
D095;SV;COSSERIA;;G4BI;SV;SV;SV00;009026;;;
D096;AP;COSSIGNANO;;K2AU;AP;AP;AP10;044016;;;
D099;VB;COSSOGNO;;A5EB;VB;VB;VB00;103023;;;
D100;SS;COSSOINE;;V3BD;SS;SS;SS00;090027;;;
D101;AT;COSSOMBRATO;;A3BY;AT;AT;AT00;005049;;;
D102;AL;COSTA VESCOVATO;;A2DL;AL;AL;AL40;006062;;;
D103;BG;COSTA VALLE IMAGNA;;C2EL;BG;BG;BG00;016085;;;
D105;RO;COSTA DI ROVIGO;;D4BA;RO;RO;RO00;029018;;;
D107;VI;COSTABISSARA;;D7BL;VI;VI;VI00;024035;;;
D108;PG;COSTACCIARO;;L1BE;PG;PG;PG00;054016;;;
D109;PV;COSTA DE' NOBILI;;C7DR;PV;PV;PV00;018058;;;
D110;BG;COSTA DI MEZZATE;;C2EM;BG;BG;BG00;016084;;;
D111;BG;COSTA SERINA;;C2EN;BG;BG;BG00;016247;;;
D112;LC;COSTA MASNAGA;;C4GH;LC;LC;CO00;097026;;;
D113;VC;COSTANZANA;;A6CI;VC;VC;VC00;002047;;;
D114;IM;COSTARAINERA;;G2BN;IM;IM;IM10;008024;;;
D117;BG;COSTA VOLPINO;;C2EP;BG;BG;BG00;016086;;;
D118;VR;COSTERMANO SUL GARDA;;D6BN;VR;VR;VR00;023030;;;
D119;AT;COSTIGLIOLE D'ASTI;;A3BZ;AT;AT;AT00;005050;;;
D120;CN;COSTIGLIOLE SALUZZO;;A4DG;CN;CN;CN30;004075;;;
D121;RA;COTIGNOLA;;H7AJ;RA;RA;RA00;039009;;;
D122;KR;CROTONE;;T2BK;KR;KR;KR00;101010;;;
D123;KR;COTRONEI;;T2BL;KR;KR;KR00;101009;;;
D124;RI;COTTANELLO;;M4BD;RI;RI;RI00;057026;;;
D126;BG;COVO;;C2EQ;BG;BG;BG00;016087;;;
D127;PV;COZZO;;C7DS;PV;PV;PV10;018059;;;
D128;MT;CRACO;;S2AI;MT;MT;MT00;077007;;;
D131;LC;CRANDOLA VALSASSINA;;C4GI;LC;LC;LC00;097027;;;
D132;VC;CRAVAGLIANA;;A6CJ;VC;VC;VC00;002048;;;
D133;CN;CRAVANZANA;;A4DH;CN;CN;CN10;004076;;;
D134;VB;CRAVEGGIA;;A5EE;VB;VB;VB00;103024;;;
D136;VI;CREAZZO;;D7BM;VI;VI;VI00;024036;;;
D137;CH;CRECCHIO;;N2BB;CH;CH;CH00;069027;;;
D139;BG;CREDARO;;C2ER;BG;BG;BG00;016088;;;
D141;CR;CREDERA RUBBIANO;;C5DJ;CR;CR;LO00;019034;;;
D142;CR;CREMA;;C5DK;CR;CR;LO00;019035;;;
D143;LC;CREMELLA;;C4GJ;LC;LC;LC00;097028;;;
D144;VA;CREMENAGA;;C9DJ;VA;VA;VA00;012056;;;
D145;LC;CREMENO;;C4GK;LC;LC;LC00;097029;;;
D147;CO;CREMIA;;C4GL;CO;CO;CO00;013083;;;
D149;AL;CREMOLINO;;A2DM;AL;AL;AL10;006063;;;
D150;CR;CREMONA;;C5AA;CR;CR;CR00;019036;;;
D151;CR;CREMOSANO;;C5DL;CR;CR;LO00;019037;;;
D154;VC;CRESCENTINO;;A6CK;VC;VC;VC00;002049;;;
D156;VI;CRESPADORO;;D7BN;VI;VI;VI00;024037;;;
D157;TV;CRESPANO DEL GRAPPA;;D5BC;TV;TV;TV00;026024;;;
D159;LO;CRESPIATICA;;C1HM;LO;LO;LO00;098025;;;
D161;RO;CRESPINO;;D4BB;RO;RO;RO00;029019;;;
D162;NO;CRESSA;;A5EG;NO;NO;NO00;003055;;;
D165;BI;CREVACUORE;;A6CL;BI;BI;BI00;096021;;;
D166;BO;CREVALCORE;;H1BD;BO;BO;BO00;037024;;;
D168;VB;CREVOLADOSSOLA;;A5EH;VB;VB;VB00;103025;;;
D170;NA;CRISPANO;;Q1BH;NA;NA;NA20;063030;;;
D171;TA;CRISPIANO;;R5AE;TA;TA;TA00;073004;;;
D172;CN;CRISSOLO;;A4DI;CN;CN;CN30;004077;;;
D175;GE;CROCEFIESCHI;;G1BN;GE;GE;GE00;010020;;;
D177;VB;CRODO;;A5EI;VB;VB;VB00;103026;;;
D179;TE;CROGNALETO;;N4AZ;TE;TE;TE00;067023;;;
D180;CS;CROPALATI;;T3BY;CS;CS;CS00;078046;;;
D181;CZ;CROPANI;;T2BM;CZ;CZ;CZ00;079036;;;
D184;CS;CROSIA;;T3BZ;CS;CS;CS00;078047;;;
D185;VA;CROSIO DELLA VALLE;;C9DL;VA;VA;VA00;012057;;;
D186;CR;CROTTA D'ADDA;;C5DM;CR;CR;CR00;019038;;;
D187;VC;CROVA;;A6CQ;VC;VC;VC00;002052;;;
D188;TN;CROVIANA;;E1EQ;;;;022068;;;
D189;KR;CRUCOLI;;T2BN;KR;KR;KR00;101011;;;
D192;VA;CUASSO AL MONTE;;C9DM;VA;VA;VA00;012058;;;
D193;VR;VERONELLA;;D6BP;VR;VR;VR00;023092;;;
D194;AL;CUCCARO MONFERRATO;;A2DN;AL;AL;AL20;006064;;;
D195;SA;CUCCARO VETERE;;Q5CB;SA;SA;SA00;065049;;;
D196;CO;CUCCIAGO;;C4GR;CO;CO;CO00;013084;;;
D197;TO;CUCEGLIO;;A1ER;TO;TO;TO40;001096;;;
D198;MI;CUGGIONO;;C1HP;MI;MI;MI20;015096;;;
D199;VA;CUGLIATE-FABIASCO;;C9DN;VA;VA;VA00;012059;;;
D200;OR;CUGLIERI;;V4AU;OR;OR;NU00;095019;;;
D201;PE;CUGNOLI;;N3AT;PE;PE;PE00;068017;;;
D202;TO;CUMIANA;;A1ES;TO;TO;TO50;001097;;;
D203;CR;CUMIGNANO SUL NAVIGLIO;;C5DN;CR;CR;LO00;019039;;;
D204;VA;CUNARDO;;C9DP;VA;VA;VA00;012060;;;
D205;CN;CUNEO;;A4AA;CN;CN;CN00;004078;;;
D207;AT;CUNICO;;A3CA;AT;AT;AL20;005051;;;
D208;TO;CUORGNE';;A1ET;TO;TO;TO40;001098;;;
D209;CH;CUPELLO;;N2BC;CH;CH;CH00;069028;;;
D210;AP;CUPRA MARITTIMA;;K2AV;AP;AP;AP10;044017;;;
D211;AN;CUPRAMONTANA;;K1AQ;AN;AN;AN00;042016;;;
D214;OR;CURCURIS;;V4DA;OR;OR;OR00;095077;;;
D216;NO;CUREGGIO;;A5EL;NO;NO;NO00;003058;;;
D217;VA;CURIGLIA CON MONTEVIASCO;;C9DQ;VA;VA;VA00;012061;;;
D218;CZ;CURINGA;;T2BP;CZ;CZ;CZ00;079039;;;
D219;BI;CURINO;;A6CR;BI;BI;BI00;096023;;;
D221;BG;CURNO;;C2EU;BG;BG;BG00;016089;;;
D222;BZ;CURON VENOSTA;GRAUN IM VINSCHGAU;E2CA;;;;021027;;;
D223;LE;CURSI;;R4BA;LE;LE;LE00;075025;;;
D225;VB;CURSOLO-ORASSO;;A5EN;VB;VB;VB00;103027;;;
D226;PD;CURTAROLO;;D3BL;PD;PD;PD00;028036;;;
D227;MN;CURTATONE;;C6AY;MN;MN;MN00;020021;;;
D228;CE;CURTI;;Q4BP;CE;CE;CE00;061032;;;
D229;MI;CUSAGO;;C1HQ;MI;MI;MI20;015097;;;
D230;BN;CUSANO MUTRI;;Q3BD;BN;BN;BN00;062026;;;
D231;MI;CUSANO MILANINO;;C1HR;MI;MI;MI20;015098;;;
D232;CO;CUSINO;;C4GS;CO;CO;CO00;013085;;;
D233;BG;CUSIO;;C2EV;BG;BG;BG00;016090;;;
D234;TP;CUSTONACI;;U9AH;TP;TP;TP00;081007;;;
D236;KR;CUTRO;;T2BQ;KR;KR;KR00;101012;;;
D237;LE;CUTROFIANO;;R4BB;LE;LE;LE00;075026;;;
D238;VA;CUVEGLIO;;C9DR;VA;VA;VA00;012062;;;
D239;VA;CUVIO;;C9DS;VA;VA;VA00;012063;;;
D243;TN;DAIANO;;E1ES;;;;022070;;;
D244;MI;DAIRAGO;;C1HT;MI;MI;MI20;015099;;;
D245;BG;DALMINE;;C2EW;BG;BG;BG00;016091;;;
D246;TN;DAMBEL;;E1ET;;;;022071;;;
D247;BL;DANTA DI CADORE;;D2AV;BL;BL;BL00;025017;;;
D251;BS;DARFO BOARIO TERME;;C3ED;BS;BS;BS10;017065;;;
D253;VV;DASA';;T2BR;VV;VV;VV00;102007;;;
D255;GE;DAVAGNA;;G1BP;GE;GE;GE00;010021;;;
D256;VA;DAVERIO;;C9DT;VA;VA;VA00;012064;;;
D257;CZ;DAVOLI;;T2BS;CZ;CZ;CZ00;079042;;;
D258;SO;DAZIO;;C8BD;SO;SO;SO00;014025;;;
D259;CA;DECIMOMANNU;;V1BN;CA;CA;CA00;092015;;;
D260;SU;DECIMOPUTZU;;V1BP;CA;CA;CA00;111013;;;
D261;CZ;DECOLLATURA;;T2BT;CZ;CZ;CZ00;079043;;;
D264;SV;DEGO;;G4BJ;SV;SV;SV00;009027;;;
D265;SP;DEIVA MARINA;;G3AM;SP;SP;SP00;011012;;;
D266;SO;DELEBIO;;C8BE;SO;SO;SO00;014026;;;
D267;CL;DELIA;;U3AF;CL;CL;CL00;085006;;;
D268;RC;DELIANUOVA;;T1BK;RC;RC;RC00;080031;;;
D269;FG;DELICETO;;R3AY;FG;FG;FG00;071022;;;
D270;BS;DELLO;;C3EF;BS;BS;BS00;017066;;;
D271;CN;DEMONTE;;A4DJ;CN;CN;CN00;004079;;;
D272;AL;DENICE;;A2DQ;AL;AL;AL10;006065;;;
D273;TN;DENNO;;E1FA;;;;022074;;;
D277;AL;DERNICE;;A2DR;AL;AL;AL40;006066;;;
D278;CR;DEROVERE;;C5DP;CR;CR;CR00;019040;;;
D279;PG;DERUTA;;L1BF;PG;PG;PG00;054017;;;
D280;LC;DERVIO;;C4GU;LC;LC;LC00;097030;;;
D281;VC;DESANA;;A6CS;VC;VC;VC00;002054;;;
D284;BS;DESENZANO DEL GARDA;;C3EG;BS;BS;BS00;017067;;;
D286;MB;DESIO;;C1HV;MI;MI;MI20;108023;;;
D287;NU;DESULO;;V2AS;NU;NU;NU00;091016;;;
D289;CS;DIAMANTE;;T3CA;CS;CS;CS00;078048;;;
D290;CS;SCIGLIANO;;T3CB;CS;CS;CS00;078139;;;
D291;CN;DIANO D'ALBA;;A4DK;CN;CN;CN10;004080;;;
D292;SA;TEGGIANO;;Q5CC;SA;SA;SA00;065146;;;
D293;IM;DIANO ARENTINO;;G2BP;IM;IM;IM00;008025;;;
D296;IM;DIANO CASTELLO;;G2BS;IM;IM;IM00;008026;;;
D297;IM;DIANO MARINA;;G2BT;IM;IM;IM00;008027;;;
D298;IM;DIANO SAN PIETRO;;G2BU;IM;IM;IM00;008028;;;
D299;FI;DICOMANO;;I1AQ;FI;FI;FI00;048013;;;
D300;UD;DIGNANO;;F6BR;UD;UD;UD00;030032;;;
D303;VV;DINAMI;;T2BU;VV;VV;VV00;102008;;;
D304;CS;DIPIGNANO;;T3CC;CS;CS;CS00;078049;;;
D305;LE;DISO;;R4BC;LE;LE;LE00;075027;;;
D309;NO;DIVIGNANO;;A5ES;NO;NO;NO00;003060;;;
D310;CO;DIZZASCO;;C4GV;CO;CO;CO00;013087;;;
D311;BZ;DOBBIACO;TOBLACH;E2CB;;;;021028;;;
D312;GO;DOBERDO' DEL LAGO;;F3BH;GO;GO;;031003;;;
D314;CN;DOGLIANI;;A4DL;CN;CN;CN20;004081;;;
D315;CH;DOGLIOLA;;N2BD;CH;CH;CH00;069029;;;
D316;UD;DOGNA;;F6BS;UD;UD;UD00;030033;;;
D317;VR;DOLCE';;D6BQ;VR;VR;VR00;023031;;;
D318;IM;DOLCEACQUA;;G2BV;IM;IM;IM10;008029;;;
D319;IM;DOLCEDO;;G2BW;IM;IM;IM00;008030;;;
D321;GO;DOLEGNA DEL COLLIO;;F3BJ;GO;GO;;031004;;;
D323;SU;DOLIANOVA;;V1BQ;CA;CA;CA00;111014;;;
D324;TS;SAN DORLIGO DELLA VALLE;;F1AP;TS;TS;;032004;;;
D325;VE;DOLO;;D1AQ;VE;VE;VE00;027012;;;
D327;LC;DOLZAGO;;C4GW;LC;LC;LC00;097031;;;
D328;CS;DOMANICO;;T3CD;CS;CS;CS00;078050;;;
D329;CO;DOMASO;;C4GX;CO;CO;CO00;013089;;;
D330;BL;DOMEGGE DI CADORE;;D2AW;BL;BL;BL00;025018;;;
D331;AV;DOMICELLA;;Q2BH;AV;AV;AV00;064031;;;
D332;VB;DOMODOSSOLA;;A5ET;VB;VB;VB00;103028;;;
D333;SU;DOMUS DE MARIA;;V1BR;CA;CA;CA00;111015;;;
D334;SU;DOMUSNOVAS;;V1BS;CA;CA;CA00;111016;;;
D338;AO;DONNAS;;B1BB;AO;AO;AO00;007023;;;
D339;BI;DONATO;;A6CU;BI;BI;BI00;096024;;;
D341;CO;DONGO;;C4GY;CO;CO;CO00;013090;;;
D344;SU;DONORI;;V1BW;CA;CA;CA00;111017;;;
D345;NU;DORGALI;;V2AT;NU;NU;NU00;091017;;;
D346;LC;DORIO;;C4GZ;LC;LC;LC00;097032;;;
D347;NO;DORMELLETTO;;A5EU;NO;NO;VB00;003062;;;
D348;PV;DORNO;;C7DU;PV;PV;PV10;018061;;;
D350;BI;DORZANO;;A6CV;BI;BI;BI00;096025;;;
D351;MN;DOSOLO;;C6AZ;MN;MN;MN00;020022;;;
D352;BG;DOSSENA;;C2EZ;BG;BG;BG00;016092;;;
D355;CO;DOSSO DEL LIRO;;C4HA;CO;CO;CO00;013092;;;
D356;AO;DOUES;;B1BC;AO;AO;AO00;007024;;;
D357;FC;DOVADOLA;;H3AL;FO;FO;FO00;040011;;;
D358;CR;DOVERA;;C5DS;CR;CR;LO00;019041;;;
D360;BO;DOZZA;;H1BE;BO;BO;BO00;037025;;;
D361;CE;DRAGONI;;Q4BQ;CE;CE;CE00;061033;;;
D364;VV;DRAPIA;;T2BV;VV;VV;VV00;102009;;;
D365;TN;DRENA;;E1FG;;;;022078;;;
D366;UD;DRENCHIA;;F6BT;UD;UD;UD00;030034;;;
D367;MI;DRESANO;;C1HW;MI;MI;LO00;015101;;;
D370;CR;DRIZZONA;;C5DT;CR;CR;CR00;019042;;;
D371;TN;DRO;;E1FH;;;;022079;;;
D372;CN;DRONERO;;A4DM;CN;CN;CN00;004082;;;
D373;TO;DRUENTO;;A1EV;TO;TO;TO20;001099;;;
D374;VB;DRUOGNO;;A5EV;VB;VB;VB00;103029;;;
D376;NU;DUALCHI;;V2AU;NU;NU;NU00;091018;;;
D377;SO;DUBINO;;C8BF;SO;SO;SO00;014027;;;
D379;VI;DUEVILLE;;D7BQ;VI;VI;VI00;024038;;;
D380;BN;DUGENTA;;Q3BE;BN;BN;BN00;062027;;;
D383;TS;DUINO-AURISINA;;F1AR;TS;TS;;032001;;;
D384;VA;DUMENZA;;C9DV;VA;VA;VA00;012065;;;
D385;VA;DUNO;;C9DW;VA;VA;VA00;012066;;;
D386;BN;DURAZZANO;;Q3BF;BN;BN;BN00;062028;;;
D388;AT;DUSINO SAN MICHELE;;A3CC;AT;AT;AT00;005052;;;
D390;SA;EBOLI;;Q5CD;SA;SA;SA00;065050;;;
D391;BS;EDOLO;;C3EH;BS;BS;BS10;017068;;;
D392;BZ;EGNA;NEUMARKT;E2CC;;;;021029;;;
D394;PE;ELICE;;N3AU;PE;PE;PE00;068018;;;
D395;NU;ELINI;;V2AV;;NU;NU00;091019;;SI;
D398;LC;ELLO;;C4HE;LC;LC;LC00;097033;;;
D399;CA;ELMAS;;V1BX;CA;CA;CA00;092108;;;
D401;CN;ELVA;;A4DN;CN;CN;CN00;004083;;;
D402;AO;EMARESE;;B1BE;AO;AO;AO00;007025;;;
D403;FI;EMPOLI;;I1AR;FI;FI;FI00;048014;;;
D406;BG;ENDINE GAIANO;;C2FC;BG;BG;BG00;016093;;;
D407;VI;ENEGO;;D7BR;VI;VI;VI20;024039;;;
D408;UD;ENEMONZO;;F6BU;UD;UD;UD00;030035;;;
D410;CN;ENTRACQUE;;A4DP;CN;CN;CN00;004084;;;
D411;BG;ENTRATICO;;C2FD;BG;BG;BG00;016094;;;
D412;CN;ENVIE;;A4DQ;CN;CN;CN30;004085;;;
D414;PZ;EPISCOPIA;;S1BG;PZ;PZ;PZ00;076030;;;
D415;VE;ERACLEA;;D1AR;VE;VE;VE00;027013;;;
